lu_id;DOY_start;DOY_mid;DOY_decay;DOY_end;GDD_start;GDD_mid;GDD_decay;GDD_end;cut_interval_day;GDD_cut_interval;ta_base;ta_ut;ground_cover_min;ground_cover_max;z_root_max;crop_height_max;ground_cover_decay_rate;ground_cover_growth_rate;root_growth_rate;water_stress_frac;basal_crop_coeff_mid;alpha_transp;nfix_rate;crop_type
501.0;92.0;172.0;230.0;245.0;378.0;1070.0;2324.65;2447.0;;;1.0;30.0;0.01;0.9;1.1;0.4;0.002;0.007953995;-0.005443501;0.45;1.05;1.0;0.0;bean
502.0;136.0;197.0;260.0;275.0;138.0;499.0;1084.9;1142.0;;;10.0;30.0;0.01;0.75;1.2;1.0;0.002;0.018715206;-0.012994752;0.5;1.15;1.0;0.0;amaranth
503.0;75.0;153.0;213.0;228.0;312.0;945.0;2292.35;2413.0;;;0.0;30.0;0.01;0.8;1.2;0.4;0.002;0.008870239;-0.006052956;0.5;1.05;1.0;0.0;other commercial crops
504.0;136.0;214.0;244.0;259.0;976.0;1470.0;2194.5;2310.0;;;0.0;30.0;0.006;0.75;1.7;0.7;0.002;0.006092731;-0.003202031;0.5;1.0;1.0;0.0;artichoke
505.0;92.0;206.0;274.0;288.0;450.0;1824.0;3073.25;3235.0;;;0.0;30.0;0.1;0.9;1.0;1.5;0.002;0.001877535;-0.003159152;0.5;1.05;1.0;0.0;berry
506.0;106.0;167.0;244.0;259.0;583.0;925.0;2564.05;2699.0;;;0.0;30.0;0.001;0.75;0.5;0.4;0.002;0.014548994;-0.00834714;0.5;0.8;1.0;0.0;ornamental plant
507.0;61.0;183.0;230.0;245.0;223.0;1587.0;2682.8;2824.0;;;0.0;30.0;0.001;0.95;0.8;0.5;0.002;0.008345915;-0.003968533;0.5;1.0;1.0;0.0;nettle
508.0;136.0;197.0;230.0;245.0;976.0;1118.0;1975.05;2079.0;;;0.0;30.0;0.01;0.95;1.6;1.0;0.002;0.007680184;-0.004440123;0.5;1.15;1.0;0.0;buckwheat
509.0;92.0;146.0;230.0;245.0;450.0;691.0;2470.95;2601.0;;;0.0;30.0;0.015;0.8;1.1;0.5;0.002;0.011357976;-0.008987135;0.475;1.15;1.0;0.0;pea
510.0;61.0;136.0;260.0;275.0;223.0;759.0;3121.7;3286.0;;;0.0;30.0;0.4;0.9;0.6;0.2;0.002;0.001496577;-0.009922178;0.2;0.85;1.0;0.0;strawberry
511.0;75.0;153.0;260.0;275.0;59.0;485.0;1907.6;2008.0;;;6.0;30.0;0.01;0.9;0.7;0.8;0.002;0.020351093;-0.016337141;0.5;1.0;1.0;0.0;esparcet
512.0;92.0;183.0;249.0;245.0;450.0;1364.0;1617.85;2601.0;;;0.0;30.0;0.01;0.75;1.2;0.8;0.002;0.005800165;-0.004027298;0.5;1.1;1.0;0.0;sunflower
513.0;92.0;197.0;230.0;245.0;450.0;1640.0;2470.95;2601.0;;;0.0;28.0;0.001;0.75;1.2;0.4;0.002;0.007750776;-0.00330221;0.4;1.05;1.0;0.0;vegetables
514.0;92.0;167.0;213.0;228.0;450.0;1058.0;2163.15;2277.0;;;0.0;30.0;0.001;0.85;1.2;1.2;0.002;0.012774764;-0.005330278;0.5;1.1;1.0;0.0;flax
515.0;61.0;136.0;157.0;172.0;223.0;759.0;1305.3;1374.0;;;0.0;30.0;0.006;0.85;1.3;0.6;0.002;0.01315414;-0.007538822;0.5;1.15;1.0;0.0;early potatoes
516.0;92.0;167.0;182.0;197.0;450.0;1058.0;1558.0;1640.0;;;0.0;30.0;0.01;0.78;2.0;0.4;0.002;0.007758437;-0.004252236;0.5;1.05;1.0;0.0;fodder root crops
517.0;92.0;192.0;272.0;228.0;145.0;1038.0;2123.25;1594.0;35.0;570.0;5.0;30.0;0.03;0.9;1.1;0.6;0.002;0.005908582;-0.005632429;0.575;1.1;1.0;0.0;fodder legumes
518.0;106.0;197.0;213.0;228.0;583.0;1507.0;2036.8;2144.0;;;0.0;30.0;0.03;0.9;1.1;0.7;0.002;0.003923835;-0.003740445;0.5;1.05;1.0;0.0;hemp
519.0;92.0;197.0;230.0;245.0;450.0;1640.0;2470.95;2601.0;;;0.0;30.0;0.001;0.75;1.2;0.4;0.002;0.007750497;-0.003302092;0.5;0.95;1.0;0.0;home garden
520.0;75.0;182.0;229.0;244.0;312.0;1481.0;2584.0;2720.0;;;0.0;30.0;0.01;0.75;1.4;5.0;0.002;0.005307736;-0.003460457;0.5;1.05;1.0;0.0;hop
521.0;75.0;153.0;213.0;228.0;312.0;945.0;2292.35;2413.0;;;0.0;30.0;0.015;0.85;1.1;0.5;0.002;0.008055974;-0.00626148;0.5;1.15;1.0;0.0;legumes
522.0;106.0;214.0;274.0;288.0;583.0;1859.0;2946.9;3102.0;;;0.0;30.0;0.1;0.8;2.0;2.0;0.002;0.001719982;-0.002304135;0.5;1.05;1.0;0.0;intensive fruit-growing
523.0;106.0;160.0;244.0;259.0;270.0;580.0;1978.85;2083.0;;;4.0;28.0;0.006;0.85;1.1;0.6;0.002;0.018174398;-0.011127473;0.35;1.15;1.0;0.0;potato
524.0;92.0;192.0;272.0;228.0;193.0;1138.0;2307.55;1729.0;35.0;570.0;4.0;30.0;0.03;0.9;1.0;0.6;0.002;0.005334637;-0.005270816;0.5;1.0;1.0;0.0;clover
525.0;125.0;202.0;272.0;288.0;41.0;647.0;1208.4;1285.0;;;10.0;30.0;0.00585;0.85;1.5;2.0;0.002;0.015978343;-0.008571098;0.55;1.2;1.0;0.0;grain corn
526.0;61.0;183.0;244.0;259.0;37.0;882.0;1799.3;1894.0;;;6.0;30.0;0.1;0.8;1.0;0.4;0.002;0.003895066;-0.007012959;0.4;1.0;1.0;0.0;herbs
527.0;75.0;153.0;182.0;197.0;312.0;945.0;1687.2;1776.0;;;0.0;30.0;0.1;0.9;0.5;1.2;0.002;0.003857048;-0.008151033;0.5;1.1;1.0;0.0;false flax
528.0;106.0;197.0;213.0;228.0;583.0;1507.0;2036.8;2144.0;;;0.0;30.0;0.1;0.8;0.7;0.5;0.002;0.002153264;-0.004387514;0.5;1.15;1.0;0.0;lentil
529.0;75.0;153.0;213.0;228.0;312.0;945.0;2292.35;2413.0;;;0.0;30.0;0.1;0.85;2.5;0.8;0.002;0.003734123;-0.004293985;0.5;1.15;1.0;0.0;lupine
530.0;111.0;192.0;272.0;288.0;237.0;948.0;2037.75;2183.0;;;5.0;30.0;0.03;0.8;2.1;0.7;0.002;0.00626906;-0.004691778;0.6;0.95;1.0;0.0;lucerne
531.0;75.0;153.0;213.0;228.0;312.0;945.0;2292.35;2413.0;;;0.0;30.0;0.001;0.8;1.2;1.2;0.002;0.01436165;-0.006052956;0.5;0.9;1.0;0.0;summer phacelia
532.0;61.0;153.0;213.0;228.0;223.0;1031.0;2375.0;2500.0;;;0.0;30.0;0.001;0.85;0.6;0.4;0.002;0.013144706;-0.006989811;0.5;1.05;1.0;0.0;flat pea
533.0;106.0;153.0;272.0;288.0;33.0;210.0;1215.05;1284.0;;;10.0;35.0;0.03;0.75;1.5;1.5;0.002;0.051358906;-0.046105492;0.45;0.7;1.0;0.0;grape
534.0;106.0;153.0;272.0;288.0;583.0;675.0;2926.0;3102.0;;;0.0;30.0;0.03;0.2;1.2;1.5;0.002;0.00475362;-0.008935062;0.5;0.7;1.0;0.0;grape school
535.0;106.0;167.0;272.0;288.0;583.0;925.0;2926.0;3263.0;;;0.0;30.0;0.001;0.5;2.7;0.4;0.002;0.013555545;-0.004208418;0.5;1.05;1.0;0.0;rhubarb
536.0;146.0;207.0;264.0;279.0;1132.0;1170.0;2318.95;2441.0;;;0.0;30.0;0.0008;0.9;2.0;0.4;0.002;0.011944964;-0.003800234;0.5;1.1;1.0;0.0;beetroot
537.0;92.0;206.0;272.0;288.0;145.0;1251.0;2123.25;2247.0;;;5.0;30.0;0.1;0.8;1.0;1.5;0.002;0.002635533;-0.004745205;0.45;1.15;1.0;0.0;nuts
538.0;136.0;197.0;213.0;228.0;976.0;1118.0;1667.25;1755.0;;;0.0;30.0;0.03;0.9;1.2;0.6;0.002;0.005437629;-0.005010864;0.5;1.15;1.0;0.0;summer mustard
539.0;122.0;202.0;244.0;259.0;77.0;612.0;1108.65;1131.0;;;10.0;30.0;0.00585;0.8;1.5;2.0;0.002;0.016870339;-0.009178298;0.5;1.2;1.0;0.0;silage corn
540.0;75.0;192.0;230.0;245.0;6.0;578.0;1052.6;1108.0;;;10.0;30.0;0.006;0.8;1.2;2.0;0.002;0.017983424;-0.010796134;0.5;0.9;1.0;0.0;silphium
541.0;122.0;202.0;254.0;269.0;109.0;691.0;1256.85;1323.0;;;9.0;30.0;0.015;0.8;1.8;0.7;0.002;0.011369839;-0.007300764;0.5;1.15;1.0;0.0;soybean
542.0;75.0;191.0;187.0;202.0;312.0;1656.0;1783.15;1877.0;;;0.0;25.0;0.02;0.85;1.6;1.0;0.002;0.003983497;-0.002894925;0.5;1.15;1.0;0.0;summer barley
543.0;75.0;162.0;213.0;228.0;312.0;1105.0;2292.35;2413.0;;;0.0;32.0;0.03;0.85;1.2;1.0;0.002;0.005397784;-0.005076501;0.55;1.15;1.0;0.0;summer wheat
544.0;75.0;162.0;199.0;214.0;312.0;1105.0;2021.6;2128.0;;;0.0;35.0;0.02;0.85;1.7;1.0;0.002;0.006189764;-0.004376434;0.5;1.15;1.0;0.0;summer oat
545.0;92.0;131.0;228.0;243.0;450.0;464.0;2432.95;2561.0;;;0.0;25.0;0.01;0.9;1.3;0.6;0.002;0.021566593;-0.013815895;0.5;1.1;1.0;0.0;summer rape
546.0;92.0;162.0;228.0;243.0;450.0;969.0;2438.65;2567.0;;;0.0;35.0;0.02;0.85;1.6;1.0;0.002;0.007173329;-0.005213071;0.5;1.15;1.0;0.0;summer triticale
547.0;92.0;183.0;249.0;264.0;73.0;729.0;1617.85;1703.0;;;7.0;32.0;0.0035;0.95;2.0;2.0;0.002;0.015887002;-0.006513894;0.45;1.1;1.0;0.0;sunflower
548.0;106.0;214.0;274.0;288.0;583.0;1859.0;2946.9;3102.0;;;0.0;30.0;0.1;0.9;1.1;2.0;0.002;0.001840467;-0.002987789;0.7;1.05;1.0;0.0;other fruit-growing
549.0;122.0;214.0;230.0;245.0;77.0;741.0;988.0;1040.0;;;10.0;30.0;0.01;0.85;1.6;1.5;0.002;0.011922508;-0.007094312;0.55;1.2;1.0;0.0;sorghum
550.0;111.0;214.0;291.0;288.0;635.0;1809.0;3052.35;3213.0;;;0.0;30.0;0.4;0.5;1.8;1.0;0.002;0.000138665;-0.002496175;0.45;1.1;1.0;0.0;asparagus
551.0;106.0;245.0;274.0;288.0;583.0;2468.0;2946.9;3102.0;;;0.0;30.0;0.1;0.95;2.8;4.0;0.002;0.001406361;-0.001423495;0.5;1.2;1.0;0.0;orchards
552.0;106.0;228.0;230.0;245.0;583.0;2144.0;2344.6;2468.0;;;0.0;30.0;0.006;0.85;1.2;0.4;0.002;0.00419617;-0.002483591;0.5;1.15;1.0;0.0;sweet potato
553.0;131.0;183.0;213.0;228.0;905.0;916.0;1736.6;1828.0;;;0.0;30.0;0.001;0.75;1.3;0.4;0.002;0.014714487;-0.006070419;0.5;0.8;1.0;0.0;tobacco
554.0;61.0;197.0;335.0;350.0;223.0;1863.0;3653.7;3846.0;;;0.0;30.0;0.001;0.95;1.7;1.0;0.002;0.007034185;-0.002484665;0.5;1.1;1.0;0.0;helianthus
555.0;92.0;192.0;272.0;228.0;450.0;1541.0;2866.15;2277.0;35.0;570.0;0.0;30.0;0.03;0.85;0.7;0.6;0.002;0.003754002;-0.004283989;0.5;1.1;1.0;0.0;vetch
556.0;289.0;146.0;192.0;207.0;3670.0;1585.0;2766.4;2736.0;;;0.0;25.0;0.02;0.9;1.6;1.0;0.005;0.004251542;-0.003034657;0.55;1.15;1.0;0.0;winter barley
557.0;289.0;146.0;192.0;207.0;3670.0;1585.0;2602.05;2736.0;;;0.0;25.0;0.03;0.83;1.8;1.0;0.005;0.003610309;-0.00287495;0.55;1.15;1.0;0.0;winter wheat
558.0;289.0;146.0;192.0;207.0;3141.0;1208.0;2128.0;2240.0;;;2.0;30.0;0.02;0.85;1.7;1.0;0.005;0.005609917;-0.003966457;0.55;1.15;1.0;0.0;winter oat
559.0;233.0;142.0;182.0;197.0;2816.0;2387.0;2402.55;3400.0;;;0.0;27.0;0.01;0.9;1.3;0.6;0.005;0.003353355;-0.002148211;0.6;1.1;1.0;0.0;winter rape
560.0;275.0;150.0;197.0;228.0;3503.0;1827.0;2868.05;3346.0;;;0.0;30.0;0.01;0.85;1.6;0.6;0.005;0.004382305;-0.002607626;0.5;1.1;1.0;0.0;winter triticale
561.0;136.0;214.0;244.0;259.0;976.0;1470.0;2194.5;2310.0;;;0.0;30.0;0.001;0.7;1.5;0.3;0.002;0.008616545;-0.003386091;0.5;1.0;1.0;0.0;chicory
562.0;111.0;202.0;228.0;243.0;41.0;647.0;1007.95;1061.0;;;10.0;30.0;0.00585;0.85;1.5;2.0;0.002;0.015978343;-0.008571098;0.5;1.2;1.0;0.0;sweet corn
563.0;92.0;197.0;260.0;275.0;248.0;1322.0;2385.45;2511.0;;;3.0;30.0;0.0008;0.95;1.4;0.5;0.002;0.010539573;-0.003913299;0.5;1.2;1.0;0.0;sugar beet
564.0;289.0;1.0;55.0;80.0;3670.0;271.0;692.55;1056.0;;;0.0;30.0;0.03;0.8;1.1;1.2;0.005;0.003468132;-0.0034492;0.5;1.0;1.0;0.0;winter green manure (Oct)
565.0;92.0;153.0;272.0;288.0;450.0;808.0;3107.45;3286.0;35.0;570.0;0.0;30.0;0.02;0.93;1.1;1.0;0.002;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;summer grass
566.0;289.0;350.0;55.0;126.0;3670.0;3780.0;692.55;1663.0;;;0.0;30.0;0.02;0.93;1.1;1.0;0.005;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;winter grass
567.0;92.0;153.0;272.0;288.0;193.0;561.0;2307.55;2474.0;35.0;570.0;4.0;30.0;0.03;0.93;1.0;0.6;0.002;0.012577267;-0.012284502;0.5;1.0;1.0;0.0;clover
568.0;289.0;325.0;55.0;80.0;3670.0;289.0;1883.85;1056.0;;;0.0;30.0;0.003;0.9;1.2;1.2;0.005;0.015835721;-0.00797707;0.5;1.1;1.0;0.0;winter phacelia
569.0;233.0;305.0;55.0;70.0;2817.0;4710.0;1516.2;1596.0;;;0.0;30.0;0.03;0.9;1.1;1.2;0.005;0.001194377;-0.001138555;0.5;1.0;1.0;0.0;winter green manure (Aug)
570.0;264.0;305.0;55.0;70.0;3346.0;4606.0;1008.9;1062.0;;;0.0;30.0;0.03;0.9;0.8;0.8;0.005;0.001222044;-0.001306916;0.5;1.0;1.0;0.0;winter green manure (Sep)
571.0;92.0;153.0;365.0;288.0;450.0;808.0;3107.45;3286.0;35.0;570.0;0.0;30.0;0.02;0.93;1.1;1.0;0.002;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;summer grass (growing only)
572.0;289.0;350.0;125.0;126.0;3670.0;3780.0;692.55;1663.0;;;0.0;30.0;0.02;0.93;1.1;1.0;0.005;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;winter grass (growing only)
573.0;126.0;153.0;272.0;288.0;450.0;808.0;3107.45;3286.0;35.0;570.0;0.0;30.0;0.02;0.93;1.1;1.0;0.002;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;summer grass (continued)
574.0;289.0;350.0;55.0;126.0;3670.0;3780.0;692.55;1663.0;;;0.0;30.0;0.02;0.93;1.1;1.0;0.005;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;winter grass (continued)
575.0;92.0;172.0;230.0;245.0;378.0;1070.0;2324.65;2447.0;;;1.0;30.0;0.01;0.9;1.1;0.4;0.002;0.007953995;-0.005443501;0.45;1.05;1.0;0.0;summer faba bean
576.0;289.0;138.0;182.0;212.0;378.0;1070.0;2324.65;2447.0;;;1.0;30.0;0.01;0.9;1.1;0.4;0.002;0.007953995;-0.005443501;0.45;1.05;1.0;0.0;winter faba bean
577.0;92.0;146.0;230.0;245.0;450.0;691.0;2470.95;2601.0;;;0.0;30.0;0.015;0.8;1.1;0.5;0.002;0.011357976;-0.008987135;0.475;1.15;1.0;0.0;summer grain pea
578.0;289.0;166.0;181.0;198.0;450.0;691.0;2470.95;2601.0;;;0.0;30.0;0.015;0.8;1.1;0.5;0.002;0.011357976;-0.008987135;0.475;1.15;1.0;0.0;winter grain pea
579.0;289.0;146.0;192.0;207.0;3670.0;1585.0;2602.05;2736.0;;;0.0;25.0;0.03;0.83;1.8;1.0;0.005;0.003610309;-0.00287495;0.55;1.15;1.0;0.0;winter rye
580.0;92.0;153.0;272.0;288.0;193.0;561.0;2307.55;2474.0;35.0;570.0;4.0;30.0;0.03;0.93;1.1;1.0;0.002;0.006577267;-0.003284502;0.5;1.0;1.0;0.0;summer clover (growing only)
581.0;289.0;350.0;55.0;121.0;450.0;808.0;3107.45;3286.0;35.0;570.0;4.0;30.0;0.02;0.93;1.1;1.0;0.002;0.006577267;-0.003284502;0.5;1.0;1.0;0.0;summer clover (continued winter)
582.0;92.0;153.0;272.0;288.0;193.0;561.0;2307.55;2474.0;35.0;570.0;4.0;30.0;0.03;0.93;1.1;1.0;0.002;0.006577267;-0.003284502;0.5;1.0;1.0;0.0;summer clover (continued summer)
583.0;289.0;350.0;55.0;121.0;450.0;808.0;3107.45;3286.0;35.0;570.0;4.0;30.0;0.02;0.93;1.1;1.0;0.002;0.006577267;-0.003284502;0.5;1.0;1.0;0.0;winter clover (growing only)
584.0;122.0;153.0;272.0;288.0;450.0;808.0;3107.45;3286.0;35.0;570.0;4.0;30.0;0.02;0.93;1.1;1.0;0.002;0.006577267;-0.003284502;0.5;1.0;1.0;0.0;winter clover (continued summer)
585.0;289.0;350.0;55.0;121.0;450.0;808.0;3107.45;3286.0;35.0;570.0;4.0;30.0;0.02;0.93;1.1;1.0;0.002;0.006577267;-0.003284502;0.5;1.0;1.0;0.0;winter clover (continued winter)
586.0;248.0;309.0;325.0;60.0;976.0;1118.0;1667.25;1755.0;;;0.0;30.0;0.03;0.9;1.2;0.6;0.002;0.005437629;-0.005010864;0.5;1.15;1.0;0.0;yellow mustard (after wheat)
587.0;295.0;325.0;340.0;60.0;976.0;1118.0;1667.25;1755.0;;;0.0;30.0;0.03;0.9;1.2;0.6;0.002;0.005437629;-0.005010864;0.5;1.15;1.0;0.0;yellow mustard (after corn)
588.0;92.0;153.0;260.0;278.0;976.0;1118.0;1667.25;1755.0;;;0.0;30.0;0.03;0.9;1.2;0.6;0.002;0.005437629;-0.005010864;0.5;1.15;1.0;0.0;yellow mustard (summer)
589.0;120.0;183.0;287.0;288.0;450.0;808.0;3107.45;3286.0;35.0;570.0;0.0;30.0;0.02;0.93;1.1;1.0;0.002;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;miscanthus (growing only)
590.0;289.0;60.0;119.0;120.0;450.0;808.0;3107.45;3286.0;35.0;570.0;0.0;30.0;0.02;0.93;1.1;1.0;0.002;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;miscanthus (continued winter)
591.0;120.0;183.0;287.0;288.0;450.0;808.0;3107.45;3286.0;35.0;570.0;0.0;30.0;0.02;0.93;1.1;1.0;0.002;0.010417861;-0.00859304;0.5;1.05;1.0;0.0;miscanthus (continued summer)
599.0;;;;;;;;;;;;;0.0;0.0;0.15;0.0;;;;0.75;0.15;1.0;0.0;bare
